DATE,PRCP,TMAX,WEEKDAY,DAY,DOGL,HAS_DOGL_HAPPENED
5/10/2014,0.18,78,7,10,0,0
5/11/2014,0,79,1,11,0,0
5/12/2014,0.05,85,2,12,0,0
5/13/2014,0.11,85,3,13,0,0
5/14/2014,0.14,75,4,14,0,0
5/15/2014,0.63,58,5,15,0,0
5/16/2014,0.11,47,6,16,0,0
5/17/2014,0,50,7,17,0,0
5/18/2014,0,57,1,18,0,0
5/19/2014,0,68,2,19,0,0
5/20/2014,0.12,72,3,20,1,0
5/21/2014,1.2,83,4,21,0,0
5/22/2014,0,80,5,22,0,0
5/23/2014,0,68,6,23,0,0
5/24/2014,0,68,7,24,0,0
5/25/2014,0,78,1,25,0,0
5/26/2014,0,82,2,26,0,0
5/27/2014,0.07,85,3,27,0,0
5/28/2014,0,83,4,28,0,0
5/29/2014,0,78,5,29,0,0
5/30/2014,0,80,6,30,0,0
5/31/2014,0,85,7,31,0,0
5/1/2015,0,56,6,1,0,0
5/2/2015,0,68,7,2,0,0
5/3/2015,0,74,1,3,0,0
5/4/2015,0.15,81,2,4,0,0
5/5/2015,0,72,3,5,0,0
5/6/2015,1.27,57,4,6,0,0
5/7/2015,0,80,5,7,0,0
5/8/2015,0,81,6,8,0,0
5/9/2015,0.4,83,7,9,0,0
5/10/2015,0.33,67,1,10,0,0
5/11/2015,0.03,72,2,11,0,0
5/12/2015,0.21,70,3,12,0,0
5/13/2015,0,52,4,13,0,0
5/14/2015,0,62,5,14,0,0
5/15/2015,0.31,62,6,15,0,0
5/16/2015,0,73,7,16,0,0
5/17/2015,0.18,80,1,17,0,0
5/18/2015,0,81,2,18,0,0
5/19/2015,0,83,3,19,0,0
5/20/2015,0,52,4,20,0,0
5/21/2015,0.08,58,5,21,0,0
5/22/2015,0,68,6,22,1,0
5/23/2015,0,73,7,23,0,1
5/24/2015,0,79,1,24,0,1
5/25/2015,0,77,2,25,0,1
5/26/2015,0.17,78,3,26,0,1
5/27/2015,0.64,81,4,27,0,1
5/28/2015,0,75,5,28,0,1
5/29/2015,0,82,6,29,0,1
5/30/2015,0.46,84,7,30,0,1
5/31/2015,1.19,70,1,31,0,1
5/1/2016,0.48,53,1,1,0,0
5/2/2016,0.34,53,2,2,0,0
5/3/2016,0,58,3,3,0,0
5/4/2016,0,67,4,4,0,0
5/5/2016,0.77,52,5,5,0,0
5/6/2016,0,65,6,6,0,0
5/7/2016,0,75,7,7,0,0
5/8/2016,0,70,1,8,0,0
5/9/2016,0,69,2,9,0,0
5/10/2016,0.06,62,3,10,0,0
5/11/2016,0.41,56,4,11,0,0
5/12/2016,0,74,5,12,0,0
5/13/2016,0.21,66,6,13,0,0
5/14/2016,0.62,65,7,14,0,0
5/15/2016,0.03,47,1,15,0,0
5/16/2016,0,50,2,16,0,0
5/17/2016,0.05,70,3,17,0,0
5/18/2016,0,66,4,18,0,0
5/19/2016,0,68,5,19,0,0
5/20/2016,0,72,6,20,1,0
5/21/2016,0,73,7,21,0,1
5/22/2016,0,77,1,22,0,1
5/23/2016,0,78,2,23,0,1
5/24/2016,0,81,3,24,0,1
5/25/2016,0,86,4,25,0,1
5/26/2016,1.12,88,5,26,0,1
5/27/2016,0,85,6,27,0,1
5/28/2016,0,83,7,28,0,1
5/29/2016,0,82,1,29,0,1
5/30/2016,0,83,2,30,0,1
5/31/2016,0,81,3,31,0,1
5/1/2017,1.12,58,2,1,0,0
5/2/2017,0.28,60,3,2,0,0
5/3/2017,0.07,46,4,3,0,0
5/4/2017,0,60,5,4,0,0
5/5/2017,0.07,48,6,5,0,0
5/6/2017,0,59,7,6,0,0
5/7/2017,0,58,1,7,0,0
5/8/2017,0,50,2,8,0,0
5/9/2017,0,55,3,9,0,0
5/10/2017,0,64,4,10,0,0
5/11/2017,0.39,72,5,11,0,0
5/12/2017,0,68,6,12,0,0
5/13/2017,0,72,7,13,0,0
5/14/2017,0,74,1,14,0,0
5/15/2017,0,75,2,15,0,0
5/16/2017,0.34,78,3,16,0,0
5/17/2017,0,88,4,17,1,0
5/18/2017,0,84,5,18,0,1
5/19/2017,0,78,6,19,0,1
5/20/2017,0.06,53,7,20,0,1
5/21/2017,0.62,62,1,21,0,1
5/22/2017,0.12,68,2,22,0,1
5/23/2017,0,71,3,23,0,1
5/24/2017,0.08,66,4,24,0,1
5/25/2017,1.09,73,5,25,0,1
5/26/2017,0,64,6,26,0,1
5/27/2017,0.09,72,7,27,0,1
5/28/2017,0,77,1,28,0,1
5/29/2017,0,77,2,29,0,1
5/30/2017,0,77,3,30,0,1
5/31/2017,0,71,4,31,0,1
